intent,questionTitle,-,questionText,-
,,,,
## intent:,Can_I_change_my_feeling_of_being_worthless_to_everyone,-,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",
## intent:,Do_I_have_too_many_issues_for_counseling,-,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?",
## intent:,How_do_I_find_out_the_cause_of_my_depression_and_anxiety,-,"I have been feeling more and more down for over a month. I have started having trouble sleeping due to panic attacks, but they are almost never triggered by something that I know of.",
## intent:,How_do_I_overcome_my_anxierty_and_depression,-,I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are bothering me.    How do I overcome this anxierty and depression?,
## intent:,Why_am_I_upset_or_down_every_day_even_when_nothing_is_going_on,-,How can I get to a place where I can be content from day to day?,
## intent:,How_can_I_deal_with_depression_stemming_from_chronic_pain,-,"I have a severe back problem. I've had 3 major and several minor operations, but I'm still in constant pain. How can I deal with the depression from this chronic pain?",
## intent:,How_can_I_get_counseling_if_my_primary_care_physician_won't_help,-,"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?",
## intent:,Why_am_I_experiencing_dfficulty_maintaining_an_erection,-,"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more frequent. This is causing major problems for my ego and it's diminishing my self esteem. This has resulted in ongoing depression and tearing apart my marriage.    I am devastated and cannot find a cause for these issues. I am very attracted to my wife and want to express it in the bedroom like I used to.    What could be causing this, and what can I do about it?",
## intent:,How_do_depression_and_PMS_symptoms_contribute_to_one_another_and_what_can_I_do_about_it,-,"I struggle with depression as well as pretty intense mood swings throughout the month. I experience highs where I feel amazing and energetic and then lows where I lack focus, energy, and generally have a more dark outlook on my life. How can I live a more balanced life?",
## intent:,Why_does_it_feel_as_if_self-harm_is_an_addiction,-,"I self-harm, and I stop for awhile. Then when I see something sad or depressing, I automatically want to self-harm.",
## intent:,My_apartment_manager_won't_let_me_keep_an_emotional_support_dog,-,"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager. They said I can't keep the ESD because I'm not disabled. What do you suggest I do?",
## intent:,How_can_I_get_my_husband_to_listen_to_my_needs_and_talk_to_me,-,"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad.""
   How can I get through to him so he will take me seriously?",
## intent:,Why_do_I_crave_depression,-,"It's not entirely true to say I enjoy being sad, but I always find a way to feel that way. I listen to sad music, read tragic stories, and, in a twisted way, like how bad it makes me feel. I focus on negative aspects of my life even if they aren't legitimate or I just make it seem negative.",
## intent:,How_can_I_best_fight_the_winter_blues,-,Every winter I find myself getting sad because of the weather. How can I fight this?,
## intent:,How_do_I_get_back_on_my_feet_while_going_through_a_bad_divorce,-,"I am going through a divorce. He is extremely angry. He refuses to physically assist me with our teenager daughter. I have no extended family support. Often times, I feel overwhelmed, tired, and joyless. I feel out of control, sad and depressed on a daily basis. I am just going through the motions of life every day. I am in my mid-50s. I have almost 29 years on my job. How can I handle this?",
## intent:,How_can_I_find_myself_again,-,"I just don't know what I want in life anymore. I'm can't figure out what it is that is keeping me distracted and unfocused. I can't put things into perspective at all. I'm just stuck, and I'm disappointed with my lack of accomplishments.",
## intent:,Is_wishing_I_wasn't_born_a_sign_of_something_deeper,-,"I'm not suicidal and wouldn't take my own life, but sometimes, I've wished for an accident to occur and take it. I feel like I just shouldn't be here and wish I wouldn't have been born so I didn't have to go through life. For me, it's a chore, but I don't know if that's normal or a sign of something.",
## intent:,I'm_seriously_unhappy_with_everything_in_my_life_but_I_know_I_don't_have_any_reason_to_feel_this_way,-,"I can't even smile or fake one. I can't feel happiness about anything and I can't show love towards another person not even my girlfriend. I hate myself sometimes. All I see is ugly.
   I can't get over the loss of a loved one and I'm not close to my family. What can I do?",
## intent:,How_can_I_help_my_girlfriend,-,My girlfriend just quit drinking and she became really depressed. She told me that she wants to move. What can I do to help her? I want her to stay.,
## intent:,Is_it_normal_to_take_a_parent_role_and_feel_so_hurt_and_broken_as_a_teenager,-,"I'm a teenager. My dad has been jail for the last five years. It's tough, but my mom really tries to give a normal life to my two sisters, my brother, and I. I feel like I took upon a parent role when I'm the second youngest, and I'm not stable. My mother and sisters say I'm overdramatic. I’m just so hurt, and I keep breaking down.",
## intent:,Why_do_I_feel_like_I'm_nothing_more_than_a_wife_and_mom,-,"I'm in my mid 20s with a husband and children. I love my family, but I feel like I've lost my identity, and I don't know who I am other than a mom and wife. At times, all I can think is what I gave up and how I feel unhappy and trapped, but I know I'd feel like worse without them. I loathe myself at times. I have an amazing life, so why can't I just enjoy it?",
## intent:,Is_there_anything_I_can_do_about_my_depression_and_anxiety,-,"I have been dealing with depression and anxiety for a number of years. I have been on medication, but lately my depression has felt worse. Can counseling help?",
## intent:,Why_do_I_feel_like_I_don't_belong_anywhere,-,"There are many people willing to lovingly provide me with a home. I have food, clothes, and a university education, but I never feel like I belong. Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home.",
## intent:,Does_my_friend_have_depression,-,I am really worried about one of my friends because I think he has major depression. He disagrees with me on that. He is shut off when it comes to talking to people and telling them how he really feels. He told me he feels empty inside and the only emotions he feels are anger and sadness. I suggested to him to get help and talk to his mom about it but he refuses.,
## intent:,I_completely_lost_myself—how_can_I_find_myself_again,-,I've become so jaded that I can't control my thoughts. I cannot focus on anything and been having anxiety attacks.,
## intent:,I've_been_feeling_sadness,-,"When I get around a particular person or when I go home, I'm just sad or irritated. The feeling comes and goes all day every day. I don't know what wrong. I'm not sure if I'm just making up symptoms and problems in my head or if there is something actually wrong.",
## intent:,"How_do_I_talk_about_my_feelings_of_depression,_and_to_who_do_I_talk_to",-,"I am a teenager. I have been experiencing major episodes of depression (if that's even what it is) for several years. It’s always getting worse. I have been having panic attacks, feeling like I can't control my fears, and I can't even bring myself to care if I live or die anymore. The problem is that I don't know who to ask for help. When I try to talk to my parents, I freeze completely and can't do anything but make a joke because never once in my life have we talked about our feelings.",
## intent:,How_can_I_stop_feeling_empty,-,I feel lazy and numb. I have no interest in things.,
## intent:,Is_self-diagnosing_okay,-,"I'm currently struggling with diagnosed depression, anxiety, and Misophonia. Also, I am 99% sure I have Borderline Personality Disorder and Avoidant Personality Disorder. I read the DSM-IV, taken college psychology, etc. I know it in my heart I have them. Is self-diagnosing okay with the right research?",
## intent:,How_do_I_make_new_friends,-,"In the past year, two of my best and only close friends moved to different states. Now I have nobody to hang out with. I'm always alone, and I honestly haven't hung out with anyone since they left. I'm super lonely. What should I do to make new friends? Because they moved and I have no friends now, I think I'm falling into a depression or something. I just need help.",
## intent:,My_family_can't_stand_me,-,I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me.,
## intent:,"I_have_long_spurts_of_depression,_anxiety,_and_need_change_constantly—why",-,"I'm depressed often, and my mind goes a million miles a minute. Every once in a while, things are okay for a few days. After a bit, I start noticing that I am picking at my skin profusely. After roughly a week, the anxiety is back and still picking. Sometimes I find myself causing fights to have change.",
## intent:,I'm_very_depressed,-,I'm very depressed. How do I find someone to talk to?,
